RegistrationNumber,Type,DriverRating,DriverName,PhoneNumber,Location
ABC645,PRIVATE_JET,4,3,5,1,2,Olivia Carter,555-6432,9,8
ABC341,HELICOPTER,4,1,3,2,2,Sophia Adams,555-1761,9,7
ABC687,YACHT,3,4,5,2,5,Sophia Adams,555-1060,3,0
ABC480,LIMO,5,2,4,2,5,Ava Edwards,555-7762,6,3
ABC15,LIMO,3,1,5,3,3,Sophia Adams,555-3800,3,3
ABC885,PRIVATE_JET,1,3,2,4,3,Liam Davis,555-9469,7,9
ABC29,YACHT,3,4,2,1,5,Sophia Adams,555-4553,3,9
ABC971,PRIVATE_JET,2,4,1,3,1,Sophia Adams,555-7910,6,5
ABC698,PRIVATE_JET,4,3,3,2,4,Ava Edwards,555-8540,0,5
ABC743,YACHT,4,3,1,4,3,Ethan Baker,555-3244,3,4
ABC117,PRIVATE_JET,1,1,3,1,5,Olivia Carter,555-1403,4,1
ABC133,LIMO,3,4,5,2,5,Ethan Baker,555-8044,4,6
ABC953,LIMO,4,3,3,1,1,Ava Edwards,555-0600,1,2
ABC186,YACHT,3,1,1,1,2,Sophia Adams,555-5943,7,1
ABC660,HELICOPTER,4,2,5,4,3,Liam Davis,555-3560,1,5
ABC650,HELICOPTER,1,2,2,5,4,Ava Edwards,555-0946,0,0
ABC924,YACHT,4,4,3,4,3,Olivia Carter,555-9924,9,1
ABC349,LIMO,1,4,3,4,5,Liam Davis,555-3628,9,7
ABC300,YACHT,5,1,1,5,3,Liam Davis,555-5498,2,9
ABC351,YACHT,2,3,1,2,4,Ava Edwards,555-2798,0,7
