RegistrationNumber,Type,DriverRating,DriverName,PhoneNumber,Location
ABC491,PRIVATE_JET,5,1,3,Benjamin Thompson,555-9095,1,0
ABC909,PRIVATE_JET,3,1,2,Carter Underwood,555-4380,2,7
ABC121,YACHT,3,4,1,Aiden Harris,555-7403,0,9
ABC620,HELICOPTER,3,5,2,Wyatt Lawson,555-9866,5,1
ABC826,YACHT,4,3,4,Natalie Walker,555-6225,6,6
ABC355,HELICOPTER,5,5,2,Eva Rodriguez,555-2201,1,9
ABC589,PRIVATE_JET,4,4,2,Caleb Hughes,555-3407,8,4
ABC429,YACHT,2,2,1,Chloe Harris,555-2163,6,6
ABC619,PRIVATE_JET,3,2,3,Isabella Smith,555-8073,0,0
ABC938,HELICOPTER,4,5,5,Amelia Owens,555-7829,0,9
ABC940,LIMO,1,2,3,Caleb Mitchell,555-2846,0,9
ABC976,LIMO,3,5,4,Aria Owens,555-3825,9,4
ABC153,YACHT,3,2,5,Oliver James,555-3385,9,7
ABC941,LIMO,2,5,5,Gabriel Reed,555-4095,5,0
ABC370,HELICOPTER,5,5,4,Leo Quinn,555-9824,9,4
ABC80,YACHT,4,3,2,Liam Davis,555-8297,7,2
ABC386,YACHT,1,3,4,Scarlett Irwin,555-9025,3,3
ABC193,LIMO,4,5,5,Sophia Smith,555-4125,3,4
ABC457,PRIVATE_JET,3,1,3,Samuel James,555-8563,9,1
ABC876,PRIVATE_JET,4,4,5,Ava Edwards,555-6701,3,0
